Name;Class;RoiX;RoiY;Area;RatioOfAreaAndROI;Slimness;ScopeOfAnomaly;FocusOfTheAnomalyX;FocusOfTheAnomalyY;Rectangularity;AnomalyWidth;AnomalyHeight;AnomalyAngle
A8.png;Artefact;403;142;6576;2317.1;2.83803;2472;185;164;0.981733;422;82;71
A4.png;Artefact;430;125;28357;8243.31;3.44;3572;190;126;0.921231;423;117;10
A25.png;Artefact;369;180;1156;563.902;2.05;1156;146;101;0.996789;370;51;84
A21.png;Artefact;301;370;2100;2581.4;0.813514;1914;215;294;0.994167;342;301;90
D103.png;Defect;581;314;3392;1833.2;1.85032;1972;336;149;0.990578;593;246;78
D19.png;Defect;85;94;1997;2208.45;0.904255;1385;155;139;0.994453;95;81;4
D33.png;Defect;242;176;1349;981.091;1.375;420;258;55;0.996253;236;166;85
D49.png;Defect;467;361;21638;16726.6;1.29363;6405;173;269;0.939894;472;333;81
D55.png;Defect;231;333;8699;12540.1;0.693694;3044;224;238;0.975836;380;109;28
D63.png;Defect;309;171;2783;1540.11;1.80702;1529;197;133;0.992269;309;146;77
D69.png;Defect;389;197;10101;5115.42;1.97462;2771;218;152;0.971942;389;183;3
