Name;Class;Mean;Variance;Skewness;Kurtosis;Power;Entropy
A8.png;Artefact;251.452;28.1984;-8.25671;70.8263;0.963897;0.130415
A4.png;Artefact;236.618;64.8317;-3.30909;12.0495;0.852971;0.352424
A25.png;Artefact;254.817;3.91696;-27.8421;929.3420;0.99359;0.0292123
A21.png;Artefact;253.512;19.4191;-12.9782;169.4340;0.988401;0.0358239
D103.png;Defect;252.597;24.6355;-10.1559;104.1420;0.981333;0.0533294
D19.png;Defect;253.585;18.9396;-13.3145;178.2760;0.988967;0.0343466
D33.png;Defect;254.241;13.1625;-18.0160;332.3440;0.992524;0.0321836
D49.png;Defect;239.673;60.6090;-3.70153;14.7013;0.887014;0.227258
D55.png;Defect;248.838;39.1572;-6.19749;39.4088;0.95284;0.113829
D63.png;Defect;253.738;16.0415;-13.7863;199.4160;0.984605;0.066682
D69.png;Defect;249.470;35.1802;-6.53391;44.7098;0.94492;0.187385
