epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4815,4.6119,12.7352,3.25015,0.04868,0.33197,0.07246,0.0347,3.35065,14.0631,2.76054,6.668e-05,6.668e-05,6.668e-05
2,98.963,3.88094,11.3568,2.75376,0.04592,0.35656,0.08064,0.04693,2.96377,13.6387,2.681,0.000149881,0.000149881,0.000149881
3,133.07,3.93077,10.4083,2.79768,0.04378,0.44672,0.115,0.06124,2.81096,13.5327,2.72262,0.000232918,0.000232918,0.000232918
4,166.906,3.77066,10.0165,2.64224,0.03521,0.53825,0.09471,0.04943,2.87821,13.5824,2.68426,0.000315789,0.000315789,0.000315789
5,200.017,3.6864,9.50441,2.61567,0.04309,0.57104,0.14454,0.07271,2.70296,13.2764,2.54345,0.000398496,0.000398496,0.000398496
6,233.774,3.83861,8.1681,2.46734,0.05761,0.53005,0.13344,0.07209,2.70108,13.3316,2.59734,0.000481037,0.000481037,0.000481037
7,267.421,3.72473,8.94335,2.6488,0.02792,0.30738,0.058,0.02407,4.34535,15.4993,4.06825,0.000563413,0.000563413,0.000563413
8,301.179,3.69016,8.85113,2.7432,0.02553,0.43852,0.08549,0.03916,3.42049,14.073,3.4544,0.000645625,0.000645625,0.000645625
9,335.049,3.80401,8.32077,2.66022,0.00456,0.55464,0.07971,0.03236,3.54652,14.1867,3.59271,0.000727671,0.000727671,0.000727671
10,368.63,3.54375,9.48873,2.74335,0.00211,0.45492,0.05544,0.02342,3.71373,14.295,3.91427,0.000809552,0.000809552,0.000809552
11,402.316,3.90336,8.63426,2.69013,0.00283,0.34699,0.06161,0.02241,3.91683,14.0811,4.74095,0.000891268,0.000891268,0.000891268
12,435.941,4.00375,8.25498,2.753,0.75394,0.01639,0.13559,0.03713,4.0083,14.0251,4.7834,0.000972819,0.000972819,0.000972819
13,469.533,3.98918,8.03516,2.70155,0.01435,0.12295,0.02364,0.01332,3.92443,14.1554,4.7908,0.00105421,0.00105421,0.00105421
14,503.505,4.0476,8.09535,2.72913,0.29712,0.02459,0.05845,0.02244,4.32065,14.3714,5.51058,0.00113543,0.00113543,0.00113543
15,537.421,4.1647,7.76932,2.76221,0.13758,0.12432,0.05572,0.01899,5.07445,14.8856,7.17758,0.00121648,0.00121648,0.00121648
16,570.873,4.07241,8.53096,2.81221,0.0942,0.12313,0.01879,0.00319,6.04911,17.5424,8.97962,0.00129737,0.00129737,0.00129737
17,604.609,4.22445,7.98993,2.87746,0.50644,0.0082,0.00053,0.00016,7.70712,272.124,33.7384,0.0013781,0.0013781,0.0013781
18,638.314,4.21144,7.67845,2.89941,0.00042,0.04098,0.00024,6e-05,7.4233,329.778,27.2069,0.00145866,0.00145866,0.00145866
19,672.147,4.27598,7.46372,2.79228,0.00052,0.06557,0.0005,0.00014,7.82477,51.1885,12.3968,0.00153906,0.00153906,0.00153906
20,705.789,3.83885,7.45221,2.91918,0.52898,0.01639,0.0055,0.00068,6.48853,95.2146,10.1139,0.00161929,0.00161929,0.00161929
21,739.333,4.15593,7.20125,3.05418,0.62755,0.01639,0.0135,0.00388,4.71909,17.9264,4.77141,0.00163399,0.00163399,0.00163399
22,772.931,4.29227,7.14052,3.08312,0.00274,0.55464,0.20748,0.04527,4.52278,12.8864,4.84719,0.00163234,0.00163234,0.00163234
23,806.73,3.93766,6.99594,3.00951,0.28545,0.25317,0.2463,0.06582,4.20047,13.4885,5.17324,0.00163069,0.00163069,0.00163069
24,839.984,4.01041,6.21059,2.77967,0.60797,0.04918,0.03929,0.01711,5.03547,17.0933,5.53574,0.00162904,0.00162904,0.00162904
25,873.295,3.88682,6.40623,2.67628,0.52286,0.02459,0.01128,0.00581,5.71948,18.3318,7.69778,0.00162739,0.00162739,0.00162739
26,906.112,3.95206,6.79805,2.7759,0.50808,0.01639,0.00293,0.00095,6.2101,21.1682,7.10946,0.00162574,0.00162574,0.00162574
27,939.02,3.98772,6.08294,2.73792,0.51218,0.01639,0.00216,0.00086,6.50535,23.1156,11.1683,0.00162409,0.00162409,0.00162409
28,972.068,4.07717,6.1481,2.87621,0.04517,0.04235,0.02183,0.0086,6.50543,15.1153,11.6083,0.00162244,0.00162244,0.00162244
29,1005.16,3.92496,6.12823,2.81177,0.1374,0.05738,0.04987,0.01779,6.4181,12.7456,8.20748,0.00162079,0.00162079,0.00162079
30,1038.06,3.96362,5.9975,2.9018,0.05912,0.14071,0.03895,0.0116,6.25786,11.9841,7.22618,0.00161914,0.00161914,0.00161914
31,1070.95,4.10085,5.94625,2.9601,0.11253,0.13251,0.02287,0.00714,6.79868,13.9621,7.8687,0.00161749,0.00161749,0.00161749
32,1104.09,4.16837,5.56769,2.93679,0.1092,0.14303,0.04802,0.0173,4.75685,10.272,4.85575,0.00161584,0.00161584,0.00161584
33,1137,3.86879,5.49057,2.76768,0.23332,0.19809,0.18427,0.08381,4.02994,11.3108,4.19122,0.00161419,0.00161419,0.00161419
34,1169.84,3.74421,5.48862,2.67164,0.25938,0.30601,0.21642,0.09087,3.82422,14.3772,4.57108,0.00161254,0.00161254,0.00161254
35,1202.67,3.77844,5.70974,2.67114,0.36054,0.35256,0.20239,0.08205,3.90227,11.1571,3.7453,0.00161089,0.00161089,0.00161089
36,1236.08,3.58216,5.46259,2.66606,0.27288,0.21448,0.22545,0.08506,3.9568,8.48087,4.0687,0.00160924,0.00160924,0.00160924
37,1270.02,3.59695,5.10769,2.53818,0.5865,0.1528,0.24368,0.09407,4.44772,8.25614,4.25571,0.00160759,0.00160759,0.00160759
38,1303.51,3.84943,5.43959,2.71209,0.2471,0.27322,0.16222,0.06854,4.18832,8.93871,4.20324,0.00160594,0.00160594,0.00160594
39,1336.32,3.9147,5.37864,2.85664,0.24535,0.30601,0.18344,0.07693,4.08106,9.30536,3.8259,0.00160429,0.00160429,0.00160429
40,1369.42,3.88942,5.13503,2.81622,0.70032,0.14071,0.22359,0.10164,3.9367,9.96027,3.8717,0.00160264,0.00160264,0.00160264
41,1402.37,3.99104,4.87889,2.71627,0.78417,0.14071,0.21369,0.09925,4.2995,12.0469,4.36397,0.00160099,0.00160099,0.00160099
42,1435.23,3.93495,4.90725,2.74167,0.53985,0.14071,0.17849,0.08597,4.27733,11.4024,4.62245,0.00159934,0.00159934,0.00159934
43,1468.33,3.95776,5.07479,2.72721,0.20982,0.15452,0.15347,0.09116,4.32937,11.1994,4.28719,0.00159769,0.00159769,0.00159769
44,1501.52,3.78365,5.02958,2.73747,0.44183,0.17319,0.18117,0.07384,3.68249,8.62339,3.50529,0.00159604,0.00159604,0.00159604
