epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.2183,4.57798,13.3959,3.19052,0.043,0.34836,0.06373,0.03222,3.09432,13.6907,2.69068,6.668e-05,6.668e-05,6.668e-05
2,94.9643,3.91419,11.3508,2.86901,0.04671,0.40574,0.07398,0.03997,3.06138,13.4583,2.61923,0.000149881,0.000149881,0.000149881
3,129.227,3.71121,9.60783,2.66312,0.04498,0.41393,0.08538,0.04941,3.06898,13.5914,2.58193,0.000232918,0.000232918,0.000232918
4,162.629,3.48293,10.1782,2.66203,0.03071,0.36339,0.08301,0.04437,3.29043,13.7317,2.69039,0.000315789,0.000315789,0.000315789
5,195.985,3.86612,9.10135,2.67764,0.05277,0.44672,0.12374,0.05631,3.24422,13.8439,3.05654,0.000398496,0.000398496,0.000398496
6,229.332,3.76662,8.7125,2.54209,0.05305,0.41393,0.10519,0.06028,2.76027,13.432,3.07761,0.000481037,0.000481037,0.000481037
7,262.898,3.77623,8.9865,2.59888,0.04367,0.49727,0.16295,0.07274,3.07036,13.5655,3.03204,0.000563413,0.000563413,0.000563413
8,296.007,3.94671,9.05665,2.78093,0.00919,0.43033,0.10838,0.04206,3.0649,13.7266,3.22095,0.000645625,0.000645625,0.000645625
9,329.668,3.59023,8.6547,2.7347,0.00223,0.1653,0.02187,0.00797,4.25385,15.336,4.66396,0.000727671,0.000727671,0.000727671
10,362.56,3.96212,9.72195,3.00043,0.0024,0.22404,0.0124,0.00318,5.45832,17.3457,7.77057,0.000809552,0.000809552,0.000809552
11,395.225,4.17466,9.30442,2.90406,0.00304,0.39754,0.04273,0.01016,4.56008,15.3412,5.72578,0.000891268,0.000891268,0.000891268
12,427.984,4.03457,8.09125,2.89794,0.00296,0.45492,0.08425,0.02778,4.25024,14.9773,6.80695,0.000972819,0.000972819,0.000972819
13,460.539,4.06559,8.57875,2.95892,0.59338,0.04098,0.06577,0.02298,4.45034,14.8381,7.11125,0.00105421,0.00105421,0.00105421
14,493.15,3.99582,9.50134,2.9183,0.01028,0.4959,0.04353,0.01714,5.00197,16.3497,7.22568,0.00113543,0.00113543,0.00113543
15,525.707,4.0926,8.71691,3.00135,0.65217,0.02459,0.05828,0.01974,4.71897,14.9775,5.97691,0.00121648,0.00121648,0.00121648
16,558.257,4.0659,7.95838,3.03826,0.57619,0.02459,0.03157,0.01347,4.83103,17.0563,6.11582,0.00129737,0.00129737,0.00129737
17,590.772,4.25748,8.26466,3.13118,0.02124,0.01639,0.01258,0.0024,4.6236,20.3823,6.32476,0.0013781,0.0013781,0.0013781
18,623.267,4.34544,8.1417,3.03829,0.00356,0.33197,0.00265,0.0009,5.20876,19.6132,8.79547,0.00145866,0.00145866,0.00145866
19,655.678,4.4621,7.77538,3.12367,0.00302,0.31557,0.00324,0.00131,5.46411,19.8505,8.97556,0.00153906,0.00153906,0.00153906
20,688.276,4.07918,7.52916,2.88669,0.07473,0.05189,0.03199,0.01103,5.42322,22.8726,7.50667,0.00161929,0.00161929,0.00161929
21,720.692,4.02429,7.81008,2.84522,0.05366,0.04098,0.03453,0.01253,5.5328,23.4926,7.2281,0.00163399,0.00163399,0.00163399
22,753.301,4.04418,6.9676,2.90418,0.08349,0.09973,0.01929,0.00653,6.30602,25.7349,8.97185,0.00163234,0.00163234,0.00163234
23,785.718,4.1465,7.19883,3.08671,0.03827,0.0082,0.00555,0.00163,6.719,18.6508,10.8916,0.00163069,0.00163069,0.00163069
24,818.287,4.21634,6.31605,2.85108,0.00163,0.37295,0.00128,0.00041,6.8219,13.6558,10.0986,0.00162904,0.00162904,0.00162904
25,850.761,4.12624,6.75514,2.97255,0.00134,0.35656,0.00104,0.00043,6.48344,14.6412,8.44114,0.00162739,0.00162739,0.00162739
26,883.626,3.88379,7.14316,2.79117,0.0014,0.28962,0.00114,0.00051,6.29863,13.1048,6.20357,0.00162574,0.00162574,0.00162574
27,916.601,4.05804,6.33471,2.8308,0.17219,0.10792,0.04417,0.01375,4.60881,12.0985,4.07546,0.00162409,0.00162409,0.00162409
28,949.335,3.79796,5.95888,2.74497,0.17231,0.02459,0.0357,0.01406,5.66026,12.6508,5.00796,0.00162244,0.00162244,0.00162244
29,981.838,3.87363,6.27423,2.60756,0.14258,0.04918,0.03528,0.01388,6.40847,13.6992,6.21057,0.00162079,0.00162079,0.00162079
30,1014.4,4.08664,6.62994,2.84542,0.07727,0.10792,0.01917,0.00784,6.19926,12.6532,6.00112,0.00161914,0.00161914,0.00161914
31,1046.87,3.62507,6.15209,2.82268,0.30272,0.0904,0.04019,0.01508,5.89774,13.1854,5.88116,0.00161749,0.00161749,0.00161749
32,1080,3.90413,5.55057,2.76789,0.1122,0.10792,0.04098,0.01521,6.27648,14.5562,8.57487,0.00161584,0.00161584,0.00161584
