epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.694,4.68825,14.4227,3.21193,0.07706,0.33197,0.08126,0.03563,3.26897,13.9619,2.75553,6.668e-05,6.668e-05,6.668e-05
2,92.0476,4.36798,11.9118,2.99278,0.09818,0.33197,0.09497,0.05494,2.90306,13.5367,2.58089,0.000149881,0.000149881,0.000149881
3,125.343,3.82425,9.28614,2.60807,0.04593,0.57104,0.12811,0.06147,3.08954,13.5625,2.63407,0.000232918,0.000232918,0.000232918
4,158.784,3.76563,9.86258,2.70044,0.03172,0.56284,0.16705,0.07921,3.06879,13.5247,2.60807,0.000315789,0.000315789,0.000315789
5,192.193,3.94725,9.46497,2.85045,0.03249,0.44672,0.12642,0.04741,2.85701,13.8104,2.79596,0.000398496,0.000398496,0.000398496
6,225.436,3.54805,8.44566,2.53574,0.02209,0.53825,0.17019,0.05105,3.20941,13.8589,2.9055,0.000481037,0.000481037,0.000481037
7,258.727,3.60725,9.237,2.69136,0.00536,0.55464,0.12035,0.04136,3.38439,13.9458,3.1504,0.000563413,0.000563413,0.000563413
8,292.004,3.92818,8.51476,2.57975,0.00367,0.45492,0.05755,0.02006,3.3633,14.0311,3.05791,0.000645625,0.000645625,0.000645625
9,325.27,3.59615,7.94899,2.51898,0.00355,0.34699,0.04754,0.01349,3.69711,14.1512,3.86804,0.000727671,0.000727671,0.000727671
10,358.507,4.05259,9.35146,2.845,0.00168,0.28142,0.00478,0.00167,4.5433,15.7164,4.7773,0.000809552,0.000809552,0.000809552
11,391.534,3.94108,8.15116,2.70636,0.00537,0.57923,0.10392,0.0443,4.22866,14.2579,4.47827,0.000891268,0.000891268,0.000891268
12,424.801,4.02346,8.18015,2.81148,0.00362,0.47951,0.05958,0.02024,3.93417,14.1557,3.93829,0.000972819,0.000972819,0.000972819
13,458.169,3.96345,8.04847,2.69372,0.00256,0.46311,0.07369,0.02788,4.08235,13.9489,3.94534,0.00105421,0.00105421,0.00105421
14,491.503,4.09416,8.48919,2.90496,0.67313,0.05738,0.05885,0.02304,4.31805,13.3474,4.5772,0.00113543,0.00113543,0.00113543
15,524.752,3.85585,8.242,2.85661,0.07347,0.11297,0.09415,0.02796,3.86237,14.1829,4.88796,0.00121648,0.00121648,0.00121648
16,557.901,4.01575,8.22732,2.84035,0.16165,0.1735,0.07159,0.02497,4.19027,15.0346,4.73984,0.00129737,0.00129737,0.00129737
17,591.178,4.10849,7.81431,2.80524,0.07861,0.22811,0.05483,0.01978,4.20433,16.3653,5.58439,0.0013781,0.0013781,0.0013781
18,624.339,3.98338,7.34294,2.61113,0.12543,0.38115,0.0834,0.02748,4.15156,16.2763,5.79267,0.00145866,0.00145866,0.00145866
19,657.587,4.13693,7.05984,2.68892,0.3142,0.10792,0.09468,0.03253,4.19332,16.1693,4.96804,0.00153906,0.00153906,0.00153906
