                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0092,                 2.9423,                  1.192,                 1.0271,                 8.1486,                  1.125,                0.00806,                0.60652,                0.26109,                0.20308,                 1.0809,                 3.4795,                 1.1062,                 1.1135,                 7.6966,                0.96061,             0.00054104,             0.00054104,             0.00054104
                      2,                 1.2372,                 2.6339,                 1.2844,                 1.2519,                 7.3831,                 1.2029,                0.78524,                0.26087,                 0.2483,                0.18822,                  1.346,                 2.6194,                 1.5426,                 1.4258,                  6.859,                  1.398,              0.0010956,              0.0010956,              0.0010956
                      3,                 1.3327,                 2.4526,                 1.3635,                 1.4519,                 6.2087,                 1.3617,                 0.2262,                0.13043,                0.18343,                0.10131,                 1.3864,                 4.1456,                 1.5093,                 1.8774,                  8.756,                 1.6826,              0.0016491,              0.0016491,              0.0016491
                      4,                  1.326,                 2.1731,                 1.3517,                 1.5072,                 5.1617,                 1.3688,                0.87484,                0.15217,                   0.22,                 0.1457,                 1.4044,                 5.1424,                 1.5812,                  1.728,                 6.7191,                 1.5742,               0.001662,               0.001662,               0.001662
                      5,                 1.3354,                 2.0057,                 1.3411,                 1.4921,                 4.1383,                 1.3438,                0.83179,                0.26087,                 0.2797,                0.17623,                 1.3692,                 9.1778,                 1.3713,                 1.6144,                 5.4053,                 1.3937,               0.001662,               0.001662,               0.001662
                      6,                 1.2343,                 1.7105,                  1.266,                 1.4274,                 3.2908,                  1.293,                0.49069,                0.46957,                0.46012,                0.26724,                 1.2282,                 1.6409,                 1.2012,                 1.4619,                 2.9327,                 1.2831,              0.0016604,              0.0016604,              0.0016604
                      7,                 1.1782,                 1.6746,                 1.2484,                 1.3959,                 2.9572,                   1.31,                0.64444,                0.31868,                0.38243,                0.25841,                 1.1215,                 1.6199,                  1.151,                 1.4969,                 3.0661,                 1.2687,              0.0016587,              0.0016587,              0.0016587
                      8,                 1.1087,                 1.4088,                 1.2111,                 1.2972,                 2.4158,                 1.2677,                0.69559,                0.48605,                0.52216,                0.34765,                 1.0682,                 1.2475,                 1.1137,                  1.559,                 2.0021,                  1.245,              0.0016571,              0.0016571,              0.0016571
                      9,                 1.1286,                 1.4232,                 1.2107,                 1.3716,                 2.2487,                 1.2409,                0.97345,                0.02174,                0.03485,                0.02546,                 2.1433,                 4.3994,                  2.263,                 2.1084,                  4.598,                   2.26,              0.0016554,              0.0016554,              0.0016554
                     10,                 1.1016,                 1.3401,                 1.2002,                 1.3296,                 2.0408,                 1.2412,                0.76921,                0.15215,                0.13146,                0.09286,                 1.9543,                 3.4902,                 1.9447,                  1.752,                 3.8723,                 1.7653,              0.0016538,              0.0016538,              0.0016538
                     11,                 1.0677,                 1.2233,                 1.1984,                  1.316,                 1.8792,                 1.2415,                  0.789,                0.19565,                0.21518,                0.14311,                 1.3554,                 2.2818,                 1.5454,                 1.7865,                 2.7927,                 1.5136,              0.0016521,              0.0016521,              0.0016521
                     12,                 1.0186,                 1.1536,                  1.147,                 1.2174,                 1.7535,                   1.17,                0.86012,                0.33606,                0.35516,                0.26053,                  1.215,                 1.9017,                 1.3315,                 1.7574,                 2.2715,                 1.4761,              0.0016505,              0.0016505,              0.0016505
                     13,                 1.0503,                 1.1398,                 1.1529,                 1.2518,                 1.6734,                 1.1709,                0.00129,                0.13696,                0.00084,                0.00054,                 2.7212,                 6.1527,                  2.959,                 2.7231,                 5.6157,                 2.9619,              0.0016488,              0.0016488,              0.0016488
                     14,                 1.0257,                 1.0922,                 1.1317,                 1.2753,                 1.6209,                 1.1774,                 0.8059,                 0.1087,                0.12579,                0.07037,                 2.0092,                 3.3514,                 1.9028,                 1.8885,                 3.9061,                  1.764,              0.0016472,              0.0016472,              0.0016472
                     15,                0.99934,                 1.0933,                 1.1447,                 1.2028,                  1.524,                 1.1643,                0.75683,                0.49457,                0.67765,                0.42225,                 1.0135,                  1.013,                 1.0827,                 1.3416,                 1.4519,                 1.1012,              0.0016455,              0.0016455,              0.0016455
                     16,                0.99356,                 1.0894,                  1.123,                 1.1947,                 1.4997,                  1.147,                0.51799,                0.60652,                0.60939,                0.41777,                0.93958,                0.94409,                0.97631,                 1.2462,                  1.351,                 1.0155,              0.0016439,              0.0016439,              0.0016439
                     17,                0.95711,                0.99147,                 1.1154,                 1.1899,                 1.3975,                 1.1381,                0.45647,                0.43006,                0.42859,                0.33737,                 1.0482,                 1.3836,                  1.072,                 1.2643,                 1.7639,                 1.0587,              0.0016422,              0.0016422,              0.0016422
                     18,                0.97409,                 1.0243,                 1.1281,                 1.1623,                 1.4072,                 1.1401,                0.67812,                0.47609,                0.54728,                0.36554,                 1.0214,                0.97289,                 1.0334,                 1.4079,                 1.5919,                  1.079,              0.0016406,              0.0016406,              0.0016406
                     19,                 1.0114,                  1.007,                 1.1412,                 1.2355,                 1.3989,                 1.1558,                 0.8796,                0.21739,                0.22376,                0.17017,                 1.3241,                 2.3643,                 1.3951,                 1.7027,                 2.8722,                 1.5077,              0.0016389,              0.0016389,              0.0016389
                     20,                0.93354,                0.93419,                  1.126,                 1.1525,                  1.381,                 1.1297,                 0.5616,                0.52368,                  0.578,                0.43376,                0.97752,                0.93552,                  1.013,                 1.2023,                 1.2684,                0.98103,              0.0016373,              0.0016373,              0.0016373
                     21,                 0.9486,                0.96091,                 1.1185,                 1.2154,                 1.3337,                 1.1428,                0.87252,                0.51304,                0.63963,                0.48398,                 0.9417,                0.79287,                0.99278,                 1.2138,                 1.3583,                 1.0407,              0.0016356,              0.0016356,              0.0016356
                     22,                0.86695,                0.88169,                 1.0555,                 1.1006,                 1.2167,                 1.0822,                0.89872,                0.53792,                0.65327,                 0.4874,                 0.9467,                0.77651,                0.97984,                 1.1671,                 1.0533,                0.98118,               0.001634,               0.001634,               0.001634
                     23,                0.93547,                0.91693,                 1.0922,                 1.1631,                 1.2699,                 1.1194,                0.85058,                 0.4913,                0.61243,                0.46103,                 1.0207,                0.82746,                0.97673,                 1.3263,                 1.1678,                 1.1136,              0.0016323,              0.0016323,              0.0016323
                     24,                0.86282,                0.91722,                 1.0743,                 1.1016,                  1.309,                 1.1281,                0.53247,                0.41957,                0.39392,                0.28767,                 1.2043,                 1.6275,                  1.294,                 1.5665,                 2.2804,                 1.3709,              0.0016307,              0.0016307,              0.0016307
                     25,                0.88786,                0.88278,                 1.0751,                 1.1797,                 1.2303,                 1.1225,                0.87879,                0.58264,                0.66811,                0.42773,                 1.1045,                0.99637,                 1.0663,                 1.3364,                 1.2819,                 1.0607,               0.001629,               0.001629,               0.001629
                     26,                0.88163,                0.89405,                 1.0798,                  1.099,                 1.2576,                 1.1115,                 0.9314,                0.26087,                0.31947,                0.24633,                 1.3148,                 1.6785,                 1.3212,                 1.5334,                 2.0569,                 1.4077,              0.0016274,              0.0016274,              0.0016274
                     27,                0.90936,                0.90465,                 1.0901,                 1.1364,                 1.2032,                 1.1181,                0.42732,                0.38369,                0.42461,                0.32627,                0.99563,                 1.1929,                 1.1061,                 1.4005,                 1.6846,                 1.1349,              0.0016257,              0.0016257,              0.0016257
                     28,                0.87949,                0.85094,                 1.0682,                 1.1201,                 1.1596,                  1.092,                0.72399,                0.52492,                0.67047,                0.47337,                0.93864,                0.87492,                0.98148,                 1.2423,                 1.2535,                 1.0489,              0.0016241,              0.0016241,              0.0016241
                     29,                0.91766,                0.89176,                 1.0958,                  1.161,                 1.2196,                 1.1229,                0.35418,                0.41957,                0.39807,                 0.3107,                 1.0124,                 1.4939,                 1.1046,                 1.3564,                 2.1104,                 1.1715,              0.0016224,              0.0016224,              0.0016224
                     30,                0.86433,                 0.8725,                 1.0637,                 1.1083,                  1.168,                 1.1024,                0.72217,                0.56304,                  0.593,                0.44817,                 1.0378,                  1.067,                 1.0231,                 1.2239,                 1.5674,                 1.0261,              0.0016208,              0.0016208,              0.0016208
                     31,                0.87689,                0.88362,                 1.0984,                 1.1191,                 1.1873,                 1.1356,                 0.7975,                0.59864,                0.70768,                0.46736,                0.92724,                0.82709,                0.99578,                 1.2128,                 1.1201,                 1.0049,              0.0016191,              0.0016191,              0.0016191
                     32,                 0.7979,                0.77703,                 1.0573,                  1.029,                  1.063,                 1.0955,                0.87525,                 0.4913,                0.62886,                0.46762,                0.87727,                0.94716,                0.96648,                 1.1392,                 1.2733,                0.99658,              0.0016175,              0.0016175,              0.0016175
