Image;Expected;Result;Score
A11.png;artefact;artefact;100%
A13.png;artefact;defect;  0%
A15.png;artefact;error;  0%
A17.png;artefact;artefact;100%
A19.png;artefact;error;  0%
A2.png;artefact;artefact;100%
A21.png;artefact;error;  0%
A23.png;artefact;error;  0%
A25.png;artefact;error;  0%
A27.png;artefact;artefact;100%
A29.png;artefact;artefact;100%
A4.png;artefact;error;  0%
A6.png;artefact;defect;  0%
A8.png;artefact;error;  0%
A9.png;artefact;defect;  0%
D101.png;defect;defect;100%
D103.png;defect;artefact;  0%
D105.png;defect;defect;100%
D107.png;defect;artefact;  0%
D109.png;defect;artefact;  0%
D11.png;defect;error;  0%
D111.png;defect;artefact;  0%
D113.png;defect;artefact;  0%
D115.png;defect;error;  0%
D117.png;defect;defect;100%
D13.png;defect;defect;100%
D15.png;defect;artefact;  0%
D17.png;defect;defect;100%
D19.png;defect;artefact;  0%
D2.png;defect;defect;100%
D21.png;defect;error;  0%
D23.png;defect;defect;100%
D25.png;defect;artefact;  0%
D27.png;defect;error;  0%
D29.png;defect;artefact;  0%
D31.png;defect;artefact;  0%
D33.png;defect;artefact;  0%
D35.png;defect;defect;100%
D37.png;defect;error;  0%
D4.png;defect;artefact;  0%
D41.png;defect;artefact;  0%
D43.png;defect;defect;100%
D45.png;defect;defect;100%
D47.png;defect;artefact;  0%
D49.png;defect;artefact;  0%
D51.png;defect;artefact;  0%
D53.png;defect;artefact;  0%
D55.png;defect;defect;100%
D57.png;defect;artefact;  0%
D59.png;defect;error;  0%
D6.png;defect;artefact;  0%
D61.png;defect;artefact;  0%
D63.png;defect;artefact;  0%
D65.png;defect;artefact;  0%
D67.png;defect;artefact;  0%
D69.png;defect;artefact;  0%
D71.png;defect;error;  0%
D73.png;defect;defect;100%
D75.png;defect;error;  0%
D77.png;defect;error;  0%
D79.png;defect;artefact;  0%
D81.png;defect;artefact;  0%
D83.png;defect;artefact;  0%
D85.png;defect;artefact;  0%
D87.png;defect;defect;100%
D89.png;defect;error;  0%
D9.png;defect;artefact;  0%
D91.png;defect;error;  0%
D93.png;defect;error;  0%
D95.png;defect;artefact;  0%
D97.png;defect;defect;100%
D99.png;defect;artefact;  0%
