Image;Expected;Result;Score
D101.png;defect;defect;100%
D105.png;defect;artefact;  0%
D107.png;defect;artefact;  0%
D109.png;defect;defect;100%
D11.png;defect;artefact;  0%
D111.png;defect;artefact;  0%
D113.png;defect;artefact;  0%
D115.png;defect;artefact;  0%
D117.png;defect;artefact;  0%
D13.png;defect;artefact;  0%
D15.png;defect;artefact;  0%
D17.png;defect;artefact;  0%
D19.png;defect;artefact;  0%
D2.png;defect;artefact;  0%
D21.png;defect;artefact;  0%
D23.png;defect;artefact;  0%
D25.png;defect;defect;100%
D27.png;defect;artefact;  0%
D29.png;defect;artefact;  0%
D31.png;defect;defect;100%
D33.png;defect;artefact;  0%
D35.png;defect;defect;100%
D37.png;defect;artefact;  0%
D4.png;defect;artefact;  0%
D41.png;defect;artefact;  0%
D43.png;defect;artefact;  0%
D45.png;defect;defect;100%
D47.png;defect;defect;100%
D50.png;defect;artefact;  0%
D51.png;defect;defect;100%
D53.png;defect;defect;100%
D57.png;defect;defect;100%
D59.png;defect;defect;100%
D6.png;defect;artefact;  0%
D61.png;defect;defect;100%
D64.png;defect;defect;100%
D65.png;defect;defect;100%
D67.png;defect;defect;100%
D71.png;defect;defect;100%
D73.png;defect;artefact;  0%
D75.png;defect;artefact;  0%
D77.png;defect;artefact;  0%
D79.png;defect;artefact;  0%
D81.png;defect;defect;100%
D83.png;defect;defect;100%
D84.png;defect;artefact;  0%
D85.png;defect;artefact;  0%
D87.png;defect;artefact;  0%
D89.png;defect;artefact;  0%
D9.png;defect;artefact;  0%
D91.png;defect;defect;100%
D93.png;defect;defect;100%
D95.png;defect;artefact;  0%
D96.png;defect;artefact;  0%
D97.png;defect;artefact;  0%
D98.png;defect;defect;100%
D99.png;defect;artefact;  0%
A1.png;artefact;defect;  0%
A10.png;artefact;defect;  0%
A11.png;artefact;defect;  0%
A13.png;artefact;artefact;100%
A15.png;artefact;artefact;100%
A17.png;artefact;defect;  0%
A19.png;artefact;artefact;100%
A2.png;artefact;defect;  0%
A22.png;artefact;artefact;100%
A23.png;artefact;artefact;100%
A27.png;artefact;artefact;100%
A28.png;artefact;artefact;100%
A29.png;artefact;defect;  0%
A6.png;artefact;artefact;100%
A9.png;artefact;artefact;100%
