Image;Expected;Result;Score
D101.png;defect;error;  0%
D105.png;defect;error;  0%
D107.png;defect;error;  0%
D109.png;defect;error;  0%
D11.png;defect;error;  0%
D111.png;defect;error;  0%
D113.png;defect;error;  0%
D115.png;defect;error;  0%
D117.png;defect;error;  0%
D13.png;defect;error;  0%
D15.png;defect;error;  0%
D17.png;defect;error;  0%
D19.png;defect;error;  0%
D2.png;defect;error;  0%
D21.png;defect;error;  0%
D23.png;defect;error;  0%
D25.png;defect;error;  0%
D27.png;defect;error;  0%
D29.png;defect;error;  0%
D31.png;defect;error;  0%
D33.png;defect;error;  0%
D35.png;defect;error;  0%
D37.png;defect;error;  0%
D4.png;defect;error;  0%
D41.png;defect;error;  0%
D43.png;defect;error;  0%
D45.png;defect;error;  0%
D47.png;defect;error;  0%
D50.png;defect;error;  0%
D51.png;defect;error;  0%
D53.png;defect;error;  0%
D57.png;defect;error;  0%
D59.png;defect;error;  0%
D6.png;defect;error;  0%
D61.png;defect;error;  0%
D64.png;defect;error;  0%
D65.png;defect;error;  0%
D67.png;defect;error;  0%
D71.png;defect;error;  0%
D73.png;defect;error;  0%
D75.png;defect;error;  0%
D77.png;defect;error;  0%
D79.png;defect;error;  0%
D81.png;defect;error;  0%
D83.png;defect;error;  0%
D84.png;defect;error;  0%
D85.png;defect;error;  0%
D87.png;defect;error;  0%
D89.png;defect;error;  0%
D9.png;defect;error;  0%
D91.png;defect;error;  0%
D93.png;defect;error;  0%
D95.png;defect;error;  0%
D96.png;defect;error;  0%
D97.png;defect;error;  0%
D98.png;defect;error;  0%
D99.png;defect;error;  0%
A1.png;artefact;error;  0%
A10.png;artefact;error;  0%
A11.png;artefact;error;  0%
A13.png;artefact;error;  0%
A15.png;artefact;error;  0%
A17.png;artefact;error;  0%
A19.png;artefact;error;  0%
A2.png;artefact;error;  0%
A22.png;artefact;error;  0%
A23.png;artefact;error;  0%
A27.png;artefact;error;  0%
A28.png;artefact;error;  0%
A29.png;artefact;error;  0%
A6.png;artefact;error;  0%
A9.png;artefact;error;  0%
