Image;Expected;Result;Score
D1.png;defect;artefact;  0%
D10.png;defect;defect;100%
D100.png;defect;defect;100%
D101.png;defect;defect;100%
D102.png;defect;defect;100%
D103.png;defect;artefact;  0%
D104.png;defect;defect;100%
D105.png;defect;defect;100%
D106.png;defect;defect;100%
D107.png;defect;defect;100%
D108.png;defect;artefact;  0%
D109.png;defect;defect;100%
D11.png;defect;defect;100%
D110.png;defect;defect;100%
D111.png;defect;defect;100%
D112.png;defect;defect;100%
D113.png;defect;defect;100%
D114.png;defect;defect;100%
D115.png;defect;artefact;  0%
D116.png;defect;defect;100%
D117.png;defect;defect;100%
D12.png;defect;defect;100%
D13.png;defect;defect;100%
D14.png;defect;defect;100%
D15.png;defect;defect;100%
D16.png;defect;defect;100%
D17.png;defect;defect;100%
D18.png;defect;artefact;  0%
D19.png;defect;defect;100%
D2.png;defect;defect;100%
D20.png;defect;defect;100%
D21.png;defect;defect;100%
D22.png;defect;defect;100%
D23.png;defect;artefact;  0%
D24.png;defect;defect;100%
D25.png;defect;artefact;  0%
D26.png;defect;defect;100%
D27.png;defect;defect;100%
D28.png;defect;defect;100%
D29.png;defect;defect;100%
D3.png;defect;defect;100%
D30.png;defect;defect;100%
D31.png;defect;artefact;  0%
D32.png;defect;defect;100%
D33.png;defect;defect;100%
D34.png;defect;defect;100%
D35.png;defect;artefact;  0%
D36.png;defect;defect;100%
D37.png;defect;defect;100%
D4.png;defect;defect;100%
D40.png;defect;artefact;  0%
D41.png;defect;artefact;  0%
D42.png;defect;defect;100%
D43.png;defect;defect;100%
D44.png;defect;defect;100%
D45.png;defect;defect;100%
D46.png;defect;artefact;  0%
D47.png;defect;artefact;  0%
D48.png;defect;artefact;  0%
D49.png;defect;artefact;  0%
D5.png;defect;artefact;  0%
D50.png;defect;artefact;  0%
D51.png;defect;artefact;  0%
D52.png;defect;defect;100%
D53.png;defect;artefact;  0%
D54.png;defect;defect;100%
D55.png;defect;defect;100%
D56.png;defect;artefact;  0%
D57.png;defect;defect;100%
D58.png;defect;defect;100%
D59.png;defect;artefact;  0%
D6.png;defect;defect;100%
D60.png;defect;artefact;  0%
D61.png;defect;artefact;  0%
D62.png;defect;artefact;  0%
D63.png;defect;defect;100%
D64.png;defect;artefact;  0%
D65.png;defect;artefact;  0%
D66.png;defect;defect;100%
D67.png;defect;defect;100%
D68.png;defect;defect;100%
D69.png;defect;artefact;  0%
D7.png;defect;defect;100%
D70.png;defect;artefact;  0%
D71.png;defect;defect;100%
D72.png;defect;defect;100%
D73.png;defect;defect;100%
D74.png;defect;defect;100%
D75.png;defect;artefact;  0%
D76.png;defect;artefact;  0%
D77.png;defect;artefact;  0%
D78.png;defect;artefact;  0%
D79.png;defect;defect;100%
D80.png;defect;artefact;  0%
D81.png;defect;artefact;  0%
D82.png;defect;artefact;  0%
D83.png;defect;defect;100%
D84.png;defect;defect;100%
D85.png;defect;defect;100%
D86.png;defect;defect;100%
D87.png;defect;artefact;  0%
D88.png;defect;defect;100%
D89.png;defect;artefact;  0%
D9.png;defect;defect;100%
D90.png;defect;defect;100%
D91.png;defect;artefact;  0%
D92.png;defect;artefact;  0%
D93.png;defect;artefact;  0%
D94.png;defect;artefact;  0%
D95.png;defect;defect;100%
D96.png;defect;defect;100%
D97.png;defect;defect;100%
D98.png;defect;artefact;  0%
D99.png;defect;artefact;  0%
A1.png;artefact;artefact;100%
A10.png;artefact;defect;  0%
A11.png;artefact;artefact;100%
A12.png;artefact;artefact;100%
A13.png;artefact;artefact;100%
A14.png;artefact;artefact;100%
A15.png;artefact;artefact;100%
A16.png;artefact;artefact;100%
A17.png;artefact;artefact;100%
A18.png;artefact;artefact;100%
A19.png;artefact;artefact;100%
A2.png;artefact;defect;  0%
A20.png;artefact;defect;  0%
A21.png;artefact;defect;  0%
A22.png;artefact;defect;  0%
A23.png;artefact;defect;  0%
A24.png;artefact;defect;  0%
A25.png;artefact;artefact;100%
A26.png;artefact;artefact;100%
A27.png;artefact;artefact;100%
A28.png;artefact;defect;  0%
A29.png;artefact;artefact;100%
A3.png;artefact;artefact;100%
A30.png;artefact;defect;  0%
A4.png;artefact;artefact;100%
A5.png;artefact;artefact;100%
A6.png;artefact;defect;  0%
A7.png;artefact;defect;  0%
A8.png;artefact;defect;  0%
A9.png;artefact;defect;  0%
