Image;Expected;Result;Score
A1.png;artefact;artefact;100%
A10.png;artefact;artefact;100%
A11.png;artefact;artefact;100%
A12.png;artefact;artefact;100%
A13.png;artefact;artefact;100%
A14.png;artefact;artefact;100%
A15.png;artefact;artefact;100%
A16.png;artefact;artefact;100%
A17.png;artefact;artefact;100%
A18.png;artefact;artefact;100%
A19.png;artefact;artefact;100%
A2.png;artefact;artefact;100%
A20.png;artefact;artefact;100%
A21.png;artefact;artefact;100%
A22.png;artefact;artefact;100%
A23.png;artefact;artefact;100%
A24.png;artefact;artefact;100%
A25.png;artefact;artefact;100%
A26.png;artefact;artefact;100%
A27.png;artefact;artefact;100%
A28.png;artefact;artefact;100%
A29.png;artefact;artefact;100%
A3.png;artefact;artefact;100%
A30.png;artefact;artefact;100%
A4.png;artefact;artefact;100%
A5.png;artefact;artefact;100%
A6.png;artefact;artefact;100%
A7.png;artefact;artefact;100%
A8.png;artefact;artefact;100%
A9.png;artefact;artefact;100%
D1.png;defect;artefact;  0%
D10.png;defect;artefact;  0%
D100.png;defect;artefact;  0%
D101.png;defect;artefact;  0%
D102.png;defect;artefact;  0%
D103.png;defect;artefact;  0%
D104.png;defect;artefact;  0%
D105.png;defect;artefact;  0%
D106.png;defect;artefact;  0%
D107.png;defect;artefact;  0%
D108.png;defect;artefact;  0%
D109.png;defect;artefact;  0%
D11.png;defect;defect;100%
D110.png;defect;artefact;  0%
D111.png;defect;artefact;  0%
D112.png;defect;artefact;  0%
D113.png;defect;artefact;  0%
D114.png;defect;artefact;  0%
D115.png;defect;artefact;  0%
D116.png;defect;defect;100%
D117.png;defect;artefact;  0%
D12.png;defect;artefact;  0%
D13.png;defect;artefact;  0%
D14.png;defect;artefact;  0%
D15.png;defect;artefact;  0%
D16.png;defect;artefact;  0%
D17.png;defect;defect;100%
D18.png;defect;artefact;  0%
D19.png;defect;artefact;  0%
D2.png;defect;artefact;  0%
D20.png;defect;artefact;  0%
D21.png;defect;artefact;  0%
D22.png;defect;artefact;  0%
D23.png;defect;artefact;  0%
D24.png;defect;artefact;  0%
D25.png;defect;artefact;  0%
D26.png;defect;artefact;  0%
D27.png;defect;artefact;  0%
D28.png;defect;artefact;  0%
D29.png;defect;artefact;  0%
D3.png;defect;artefact;  0%
D30.png;defect;artefact;  0%
D31.png;defect;artefact;  0%
D32.png;defect;artefact;  0%
D33.png;defect;artefact;  0%
D34.png;defect;artefact;  0%
D35.png;defect;artefact;  0%
D36.png;defect;artefact;  0%
D37.png;defect;artefact;  0%
D4.png;defect;artefact;  0%
D40.png;defect;artefact;  0%
D41.png;defect;artefact;  0%
D42.png;defect;artefact;  0%
D43.png;defect;artefact;  0%
D44.png;defect;artefact;  0%
D45.png;defect;artefact;  0%
D46.png;defect;artefact;  0%
D47.png;defect;artefact;  0%
D48.png;defect;artefact;  0%
D49.png;defect;artefact;  0%
D5.png;defect;artefact;  0%
D50.png;defect;artefact;  0%
D51.png;defect;artefact;  0%
D52.png;defect;artefact;  0%
D53.png;defect;artefact;  0%
D54.png;defect;artefact;  0%
D55.png;defect;artefact;  0%
D56.png;defect;artefact;  0%
D57.png;defect;artefact;  0%
D58.png;defect;artefact;  0%
D59.png;defect;artefact;  0%
D6.png;defect;artefact;  0%
D60.png;defect;artefact;  0%
D61.png;defect;artefact;  0%
D62.png;defect;artefact;  0%
D63.png;defect;artefact;  0%
D64.png;defect;artefact;  0%
D65.png;defect;artefact;  0%
D66.png;defect;artefact;  0%
D67.png;defect;artefact;  0%
D68.png;defect;artefact;  0%
D69.png;defect;artefact;  0%
D7.png;defect;artefact;  0%
D70.png;defect;artefact;  0%
D71.png;defect;artefact;  0%
D72.png;defect;artefact;  0%
D73.png;defect;artefact;  0%
D74.png;defect;artefact;  0%
D75.png;defect;artefact;  0%
D76.png;defect;artefact;  0%
D77.png;defect;artefact;  0%
D78.png;defect;artefact;  0%
D79.png;defect;artefact;  0%
D80.png;defect;artefact;  0%
D81.png;defect;artefact;  0%
D82.png;defect;artefact;  0%
D83.png;defect;artefact;  0%
D84.png;defect;artefact;  0%
D85.png;defect;artefact;  0%
D86.png;defect;artefact;  0%
D87.png;defect;artefact;  0%
D88.png;defect;artefact;  0%
D89.png;defect;artefact;  0%
D9.png;defect;artefact;  0%
D90.png;defect;artefact;  0%
D91.png;defect;artefact;  0%
D92.png;defect;artefact;  0%
D93.png;defect;artefact;  0%
D94.png;defect;artefact;  0%
D95.png;defect;artefact;  0%
D96.png;defect;artefact;  0%
D97.png;defect;artefact;  0%
D98.png;defect;artefact;  0%
D99.png;defect;artefact;  0%
